severity,rule_id,message,count,confidence
critical,pair_similarity,Sehr niedrige Ähnlichkeit – 1 Segmente,1,
major,locale,"Zahlenformat erwartet 02,10",18,
major,structure,Schließende Klammer ohne Öffnung in source: ),2,
major,consistency,"Zahlen fehlen im Ziel: ['02102025', '08', '53', '16061965', '07091965', '13011954', '2', '26042011', '738166', '19072011', '25012021', '05102023', '14061986', '16111964']",1,
major,consistency,"Neue Zahlen im Ziel: ['1', '3', '4', '5', '6', '7', '25000.00', '16', '06', '1965', '07', '09', '26', '04', '2011', '19', '12', '2019', '13', '01', '1954', '25', '2021', '14', '1986', '05', '10', '2023', '11', '1964', '30', '2024']",1,
major,consistency,Einheiten-Differenzen: fehlend=[] neu=['eur'],1,
major,terminology,"Eigennamen/Akronyme fehlen oder verändert: ['Gesch', 'Dritten Rechtsgeschafte', 'Geschafisfiihrer', 'Rechtsform', 'Geschaftsanschrift', 'Vorstand', 'Tag', 'Leitungsorgan', 'Unternehmens', 'Bereich Luft', 'Versicherungen', 'Geschaftsfihrer', 'Allgemeine Vertretungsregelung', 'Seefracht', 'Gegenstand', 'Nummer', 'Geschaftsfuhrer', 'Vermittlung', 'Amtsgerichts Stuttgart', 'Geschaftsftihrer', 'Waren', 'Direktoren', 'Haftung', 'Zweigniederlassungen', 'Grund', 'Vertreter', '738166', 'Vertretungsberechtigte', 'Geschaftsfthrer', 'Niederlassung', 'Dienstleistungen', 'Sitz', 'Eintragung', 'Rechtsgeschafte', 'Ist', 'Handel', 'Gesellschaft', 'Norwegen', 'Seite', 'Sonstige Rechtsverhaltnisse', 'Namen', 'Erbringung', 'Gagenstand', 'Beginn', 'Firma', 'Satzung', 'Bemerkungen', 'Gesellschaftsvertrag', 'Befugnis', 'Geschaftsfhrer', 'Singapur', 'Dritten', 'Gesellschafter', 'Vertretungsbefugnis', 'Stammkapital', 'Niederlande']",1,
minor,whitespace,Trailing Whitespace in target,1,
minor,style,Satzanfang Großschreibung fehlt im Ziel,1,
minor,style,6 sehr lange Sätze (>220 Zeichen),1,
minor,readability,Hohe durchschnittliche Satzlänge (204),1,
minor,readability,Viele sehr lange Sätze (8),1,
minor,readability,Hoher LIX Index (64.6),1,
minor,grammar,Satz endet nicht mit Punkt/!/?,1,
minor,grammar,Mehrfache Leerzeichen,1,
